Experiment Number,Hidden Units,Learning Rate,Epochs,Train Data RMSE,Test Data RMSE,Train Data MAE,Test Data MAE,Train Data MAPE,Test Data MAPE
1.0,10.0,0.01,10.0,0.37904232449223224,0.06872544672854469,0.32203626425103266,0.05967977198555296,87.50669143122975,54.44695569838254
2.0,10.0,0.01,50.0,0.4075630713861484,0.09767596484847957,0.35325686873353196,0.0893841261792976,92.75303695493206,81.0445624789747
3.0,10.0,0.01,100.0,0.3913804914974549,0.0806081296022212,0.33535675047543567,0.07140732229206462,88.81975365847859,63.07432083293195
4.0,10.0,0.001,10.0,0.42085754585018376,0.11146186813676057,0.3683594970909302,0.10425836293004316,99.59697180619868,99.30618741068716
5.0,10.0,0.001,50.0,0.40909911206147437,0.09914418431151639,0.35499349383428636,0.09097378555703868,93.35886075433099,82.92763214970658
6.0,10.0,0.001,100.0,0.36321617470497874,0.054280902249424334,0.30485239805091024,0.04699935447259446,86.15987251983613,49.22851753193006
7.0,10.0,0.0001,10.0,0.4064734890242164,0.09607038307488482,0.35202393092611123,0.08764046518552857,92.32321301370834,78.97906644920859
8.0,10.0,0.0001,50.0,0.42725025989948545,0.11830049240433299,0.3756453660376797,0.11153952091545691,103.96048100377165,108.29443105147885
9.0,10.0,0.0001,100.0,0.4031530129979276,0.09263078782201305,0.34829441917559806,0.08395808681429705,91.20052587541998,74.93307446227527
10.0,20.0,0.01,10.0,0.3291914923903523,0.03969785005309615,0.2685783653011136,0.030534513849965066,85.58343211047568,52.229013664693355
11.0,20.0,0.01,50.0,0.32235806628656977,0.041806186485484856,0.26150534199425224,0.03303652685852186,85.94640951130972,58.89730779573515
12.0,20.0,0.01,100.0,0.37389659865417585,0.06337725457707205,0.3164691011352285,0.054855045477854913,87.04727644960714,51.95821187195342
13.0,20.0,0.001,10.0,0.4282468868415891,0.1194223638801698,0.37677850742416313,0.11272869585405107,104.6389497885951,109.76241102128856
14.0,20.0,0.001,50.0,0.3607232884188176,0.05234948958500278,0.30213826962340834,0.04531849469689863,85.98078493595739,48.83146809193166
15.0,20.0,0.001,100.0,0.41903168377542843,0.11018681438764209,0.3662759243276943,0.10289400082779025,98.35524446854795,97.62194720962593
16.0,20.0,0.0001,10.0,0.41805389423557515,0.10836883357523962,0.36516099993340045,0.1009448491500895,97.72967551769571,95.21581205816663
17.0,20.0,0.0001,50.0,0.445022736659262,0.13744461755113285,0.395742198463512,0.1316703494454688,115.99422191026196,133.14498255458085
18.0,20.0,0.0001,100.0,0.3907308812960774,0.07994434544923328,0.3346498716841965,0.07073461735515428,88.72592083250218,62.5175992702983
19.0,30.0,0.01,10.0,0.3329325858133216,0.03942066779976713,0.2724564790504011,0.030263079561971953,85.42696380931909,49.67545372200686
20.0,30.0,0.01,50.0,0.32190976817850653,0.04200518664729183,0.2610400824597588,0.03323177855672843,85.97228598131701,59.35272639529927
21.0,30.0,0.01,100.0,0.3088564428153791,0.05057190741683217,0.24744856230078055,0.04017266490129005,86.86254600021289,73.66634635065755
22.0,30.0,0.001,10.0,0.39380374988514444,0.08323893098758205,0.33799601726969725,0.07410957948392087,89.18793396996844,65.42217306338408
23.0,30.0,0.001,50.0,0.3832459665298291,0.07286476852210338,0.3265657715204087,0.06363794824821337,87.88903412852763,57.024387105027294
24.0,30.0,0.001,100.0,0.36135809231378796,0.05268259950651484,0.30283046930054197,0.045613840939580014,86.02640711780289,48.901223028181846
25.0,30.0,0.0001,10.0,0.4031755048559456,0.09262522033705349,0.3483195405640404,0.0839522287416511,91.20722589164919,74.92713030453417
26.0,30.0,0.0001,50.0,0.3946037758958948,0.08380521511220147,0.33887036856586256,0.07469563025552771,89.32224835063323,65.94842704684926
27.0,30.0,0.0001,100.0,0.4395641102754061,0.13179374566209343,0.38959361544055016,0.12576027409056303,112.31232855322268,125.84927528772194
